name,day
e-tips,0
e-stat01-eda,0
e-vis01-bar-charts,0
e-grama01-basics,1
e-data01-derive,2
e-vis02-histograms,3
e-stat02-source,4
e-vis03-scatterplot,5
e-grama02-building,6
e-data02-pivot,6
e-grama03-eval,7
e-vis04-lines,8
e-stat03-descriptive,9
e-data03-separate-unite,10
e-data04-join,11
e-vis05-multiples,12
e-grama04-ema,13
e-stat04-distributions,14
e-grama05-fit-function,15
e-stat05-CI,16
e-stat06-spc,17
e-grama06-fit-univar,18
e-grama07-fit-multivar,19
e-grama08-duu,20
